Vivado Simulator 2019.1
Time resolution is 1 ps
a = 0001, b = 1111, s = 0000, c4 = 1
a = 0010, b = 1110, s = 0000, c4 = 1
a = 0011, b = 1101, s = 0000, c4 = 1
a = 0100, b = 1100, s = 0000, c4 = 1
a = 0101, b = 1011, s = 0000, c4 = 1
a = 0110, b = 1010, s = 0000, c4 = 1
a = 0111, b = 1001, s = 0000, c4 = 1
a = 1000, b = 1000, s = 0000, c4 = 1
a = 1001, b = 0111, s = 0000, c4 = 1
a = 1010, b = 0110, s = 0000, c4 = 1
a = 1011, b = 0101, s = 0000, c4 = 1
a = 1100, b = 0100, s = 0000, c4 = 1
a = 1101, b = 0011, s = 0000, c4 = 1
a = 1110, b = 0010, s = 0000, c4 = 1
a = 1111, b = 0001, s = 0000, c4 = 1
a = 0000, b = 0000, s = 0000, c4 = 0
a = 0001, b = 1111, s = 0000, c4 = 1
a = 0010, b = 1110, s = 0000, c4 = 1
a = 0011, b = 1101, s = 0000, c4 = 1
a = 0100, b = 1100, s = 0000, c4 = 1
a = 0101, b = 1011, s = 0000, c4 = 1
a = 0110, b = 1010, s = 0000, c4 = 1
a = 0111, b = 1001, s = 0000, c4 = 1
a = 1000, b = 1000, s = 0000, c4 = 1
a = 1001, b = 0111, s = 0000, c4 = 1
a = 1010, b = 0110, s = 0000, c4 = 1
a = 1011, b = 0101, s = 0000, c4 = 1
a = 1100, b = 0100, s = 0000, c4 = 1
a = 1101, b = 0011, s = 0000, c4 = 1
a = 1110, b = 0010, s = 0000, c4 = 1
a = 1111, b = 0001, s = 0000, c4 = 1
a = 0000, b = 0000, s = 0000, c4 = 0
a = 0001, b = 1111, s = 0000, c4 = 1
a = 0010, b = 1110, s = 0000, c4 = 1
a = 0011, b = 1101, s = 0000, c4 = 1
a = 0100, b = 1100, s = 0000, c4 = 1
a = 0101, b = 1011, s = 0000, c4 = 1
a = 0110, b = 1010, s = 0000, c4 = 1
a = 0111, b = 1001, s = 0000, c4 = 1
a = 1000, b = 1000, s = 0000, c4 = 1
